Discipline, Perf, Wind, Competitor, DOB, Country, Venue, Date
25,000 Metres, 1:12:25.4, , Moses Cheruiyot Mosop, 07 JUL 1985, KEN, Eugene, OR, 03 JUN 2011
25 Kilometres, 1:11:18, , Dennis Kipruto Kimetto, 22 JAN 1984, KEN, Berlin, 06 MAY 2012
30,000 Metres, 1:26:47.4, , Moses Cheruiyot Mosop, 07 JUL 1985, KEN, Eugene (Hayward Field), OR, 03 JUN 2011
30 Kilometres, 1:27:13, , Stanley Kipleting Biwott, 21 APR 1986, KEN, London, 24 APR 2016
30 Kilometres, 1:27:13, , Eliud Kipchoge, 05 NOV 1984, KEN, London, 24 APR 2016
Marathon, 2:02:57, , Dennis Kipruto Kimetto, 22 JAN 1984, KEN, Berlin, 28 SEP 2014
100 Kilometres, 6:13:33, , Takahiro Sunada, 19 JAN 1973, JPN, Tokoro, 21 JUN 1998
3000 Metres Steeplechase, 7:53.63, , Saif Saaeed Shaheen, 15 OCT 1982, QAT, Bruxelles (Boudewijnstadion), 03 SEP 2004
110 Metres Hurdles, 12.80, +0.3, Aries Merritt, 24 JUL 1985, USA, Bruxelles (Boudewijnstadion), 07 SEP 2012
400 Metres Hurdles, 46.78, , Kevin Young, 16 SEP 1966, USA, Barcelona (Estadio Olímpico), 06 AUG 1992
High Jump, 2.45, , Javier Sotomayor, 13 OCT 1967, CUB, Salamanca (Helmántico), 27 JUL 1993
Pole Vault, 6.16  (i), , Renaud Lavillenie, 18 SEP 1986, FRA, Donetsk (Sport Palace Druzhba), 15 FEB 2014
Long Jump, 8.95, +0.3, Mike Powell, 10 NOV 1963, USA, Tokyo (Olympic Stadium), 30 AUG 1991
Triple Jump, 18.29, +1.3, Jonathan Edwards, 10 MAY 1966, GBR, Göteborg (Ullevi Stadium), 07 AUG 1995
Shot Put, 23.12, , Randy Barnes, 16 JUN 1966, USA, Los Angeles (Westwood), CA, 20 MAY 1990
Discus Throw, 74.08, , Jürgen Schult, 11 MAY 1960, GDR, Neubrandenburg (Jahn Sportpark), 06 JUN 1986
Hammer Throw, 86.74, , Yuriy Sedykh, 11 JUN 1955, URS, Stuttgart (Neckarstadion), 30 AUG 1986
Javelin Throw, 98.48, , Jan Zelezný, 16 JUN 1966, CZE, Jena (Abbe Sport Ground), 25 MAY 1996
Decathlon, 9045, , Ashton Eaton, 21 JAN 1988, USA, Beijing (National Stadium), 29 AUG 2015
20,000 Metres Race Walk, 1:17:25.6, , Bernardo Segura, 11 FEB 1970, MEX, Bergen (Fana), 07 MAY 1994
20 Kilometres Race Walk, 1:16:36, , Yusuke Suzuki, 02 JAN 1988, JPN, Nomi, JPN, 15 MAR 2015
30,000 Metres Race Walk, 2:01:44.1, , Maurizio Damilano, 6 APR 1957, ITA, Cuneo, 03 OCT 1992
50,000 Metres Race Walk, 3:35:27.2, , Yohann Diniz, 01 JAN 1978, FRA, Reims, 12 MAR 2011
50 Kilometres Race Walk, 3:32:33, , Yohann Diniz, 01 JAN 1978, FRA, Zürich (Letzigrund), 15 AUG 2014
4x100 Metres Relay, 36.84, , Jamaica, , JAM, London (Olympic Stadium), 11 AUG 2012
4x200 Metres Relay, 1:18.63, , Jamaica, , JAM, Nassau (T. Robinson Stadium), 24 MAY 2014
4x400 Metres Relay, 2:54.29, , United States, , USA, Stuttgart (Gottlieb-Daimler Stadion), 22 AUG 1993
4x800 Metres Relay, 7:02.43, , Kenya, , KEN, Bruxelles (Boudewijnstadion), 25 AUG 2006
4x1500 Metres Relay, 14:22.22, , Kenya, , KEN, Nassau (T. Robinson Stadium), 25 MAY 2014
Road Relay, 1:57:06, , Kenya, , KEN, Chiba, 23 NOV 2005
Distance Medley Relay, 9:15.50, , United States, , USA, Nassau (T. Robinson Stadium), 03 MAY 2015
